"Component"                                     , "Designator on PCB/Usage"                           , "Supplier"   , "Supplier URL"                                                             , "Quantity"
"Woagboard PCB"                                 , "Placed in case"                                    , "JLCPCB"     , "See pcb/jlcpcb for production files"                                      , "2"
"Ebyte E73-2G4M08S1C MCU"                       , "U1"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C356849.html>"                           , "2"
"TI BQ24075RGT Battery Charger"                 , "U2"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C15464.html>"                            , "2"
"Onsemi SRV05-4 ESD Protection"                 , "U3"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C2836319.html>"                          , "2"
"Korean Hroparts Elec TYPE-C-31-M-12"           , "J1"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C165948.html>"                           , "2"
"1x6 Vertical Pin header"                       , "J2"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C706869.html>"                           , "2"
"Panasonic EVQ-P7C01P push button"              , "PWR1,RST1"                                         , "LCSC"       , "<https://lcsc.com/product-detail/C388883.html>"                           , "4"
"Yellow LED"                                    , "LED1"                                              , "LCSC"       , "<https://lcsc.com/product-detail/C2296.html>"                             , "2"
"Green LED"                                     , "LED2"                                              , "LCSC"       , "<https://lcsc.com/product-detail/C2297.html>"                             , "2"
"4.7uF Capacitor"                               , "C2,C3,C4,C5"                                       , "LCSC"       , "<https://lcsc.com/product-detail/C23733.html>"                            , "8"
"1uF Capacitor"                                 , "C1,C6"                                             , "LCSC"       , "<https://lcsc.com/product-detail/C52923.html>"                            , "4"
"18pF Capacitor"                                , "C7,C8"                                             , "LCSC"       , "<https://lcsc.com/product-detail/C1549.html>"                             , "4"
"47kΩ Resistor"                                 , "R4"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C25792.html>"                            , "2"
"10kΩ Resistor"                                 , "R7"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C25744.html>"                            , "2"
"5.1kΩ Resistor"                                , "R1,R2"                                             , "LCSC"       , "<https://lcsc.com/product-detail/C25905.html>"                            , "4"
"3.9kΩ Resistor"                                , "R6"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C23018.html>"                            , "2"
"270Ω Resistor"                                 , "R3,R5,R8"                                          , "LCSC"       , "<https://lcsc.com/product-detail/C25867.html>"                            , "6"
"750 mA fuse"                                   , "F1"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C2687878.html>"                          , "2"
"32.768kHz Crystal"                             , "Y1"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C32346.html>"                            , "2"
"Murata Electronics BLM15PX121SN1D Ferrite Bead", "L1"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C88970.html>"                            , "2"
"10uH Inductor"                                 , "L2"                                                , "LCSC"       , "<https://lcsc.com/product-detail/C223249.html>"                           , "2"
"Kailh PG1350 Choc Hotswap Sockets"             , "SW1-SW18"                                          , "Typeractive", "<https://typeractive.xyz/products/hotswap-sockets?variant=45742200324327>", "10 x 4 (36 used)"
"Woagboard Case"                                , "Surrounds PCB. Connected Via M2 screws"            , "3D Printed" , "See case for models"                                                      , "1x Left, 1x Right"
"M2x10 Countersunk Screws"                      , "H1 (Mounting Point)"                               , "JKM"        , "<https://jkm.co.za/product/m2x10-csk-galv-m-screw-bos/>"                  , "2"
"M2x12 Countersunk Screws"                      , "H2, H3 (Mounting Points)"                          , "JKM"        , "<https://jkm.co.za/product/m2x12-csk-galv-m-screw-bos/>"                  , "4"
"M2 Brass Heat inserts"                         , "H1, H2, H3 (Mounting Points)"                      , "AliExpress" , "<https://www.aliexpress.com/item/32890237459.html>"                       , "50 x 1 (6 M2 inserts used)"
"Laptop Tenting Feet"                           , "Attached to case"                                  , "Typeractive", "<https://typeractive.xyz/products/tenting-feet>"                          , "2 x 2"
"Choc switches"                                 , "SW1-SW18 (Connected via hotswap)"                  , "AliExpress" , "<https://www.aliexpress.com/item/1005005883472162.html>"                  , "30 x 2 (36 used)"
"Choc keycaps"                                  , "SW1-SW18 (Connected via switch)"                   , "AliExpress" , "<https://www.aliexpress.com/item/1005004558099208.html>"                  , "50 x 1 (36 used)"
"nice!view"                                     , "J4 (Wired up with wires. nice!view placed in case)", "Typeractive", "<https://typeractive.xyz/products/nice-view>"                             , "1"